Course,Section,Faculty,Time,Room,Semester,Predicted Faculty,Records
ACT201,1,AhU,11:20 AM - 12:50 PM RA,NAC510,,,
ACT201,2,ARm,01:00 PM - 02:30 PM ST,NAC310,,,
ACT201,3,ARm,02:40 PM - 04:10 PM ST,NAC206,,,
ACT201,4,Asy,09:40 AM - 11:10 AM MW,NAC206,,,
ACT201,5,Asy,11:20 AM - 12:50 PM MW,NAC410,,,
ACT201,6,AWKm,02:40 PM - 04:10 PM RA,NAC410,,,
ACT201,7,FI,01:00 PM - 02:30 PM MW,NAC307,,,
ACT201,8,FI,02:40 PM - 04:10 PM MW,NAC307,,,
ACT201,9,HAS,04:20 PM - 05:50 PM ST,NAC510,,,
ACT201,10,IAC,09:40 AM - 11:10 AM ST,NAC411,,,
ACT201,11,MdM,11:20 AM - 12:50 PM ST,NAC410,,,
ACT201,12,MIBS,08:00 AM - 09:30 AM ST,NAC310,,,
ACT201,13,MN,01:00 PM - 02:30 PM MW,NAC411,,,
ACT201,14,MN,02:40 PM - 04:10 PM MW,NAC410,,,
ACT201,15,MN,01:00 PM - 02:30 PM ST,NAC510,,,
ACT201,16,MN,02:40 PM - 04:10 PM ST,NAC507,,,
ACT201,17,NNh,09:40 AM - 11:10 AM MW,NAC310,,,
ACT201,18,NNh,11:20 AM - 12:50 PM MW,NAC309,,,
ACT201,19,SHA1,02:40 PM - 04:10 PM ST,NAC510,,,
ACT201,20,TsA,08:00 AM - 09:30 AM MW,NAC411,,,
ACT201,21,TBA,06:00 PM - 07:30 PM MW,NAC206,,,
ACT201,22,TBA,02:40 PM - 04:10 PM ST,NAC411,,,
ACT201,23,TBA,01:00 PM - 02:30 PM ST,NAC507,,,
ACT201,24,TBA,01:00 PM - 02:30 PM RA,NAC410,,,
ACT201,25,TBA,09:40 AM - 11:10 AM RA,NAC510,,,
ACT201,26,TBA,02:40 PM - 04:10 PM RA,NAC215,,,
ACT201,27,TBA,04:20 PM - 05:50 PM MW,NAC309,,,
ACT201,28,TBA,09:40 AM - 11:10 AM RA,NAC410,,,
ACT201,29,TBA,04:20 PM - 05:50 PM MW,NAC310,,,
ACT201,30,TBA,04:20 PM - 05:50 PM ST,NAC310,,,
ACT202,1,FI,01:00 PM - 02:30 PM ST,NAC411,,,
ACT202,2,FI,02:40 PM - 04:10 PM ST,NAC309,,,
ACT202,3,IAC,08:00 AM - 09:30 AM MW,NAC406,,,
ACT202,4,IAC,11:20 AM - 12:50 PM MW,NAC411,,,
ACT202,5,MGR,08:00 AM - 09:30 AM ST,NAC309,,,
ACT202,6,MIBS,08:00 AM - 09:30 AM MW,NAC410,,,
ACT202,7,MRE,11:20 AM - 12:50 PM RA,NAC310,,,
ACT202,8,Rby,01:00 PM - 02:30 PM ST,NAC509,,,
ACT202,9,RMH1,11:20 AM - 12:50 PM ST,NAC413,,,
ACT202,10,RMH1,08:00 AM - 09:30 AM ST,NAC406,,,
ACT202,11,SHA1,01:00 PM - 02:30 PM MW,NAC509,,,
ACT202,12,SHA1,02:40 PM - 04:10 PM MW,NAC510,,,
ACT202,13,Sys,11:20 AM - 12:50 PM MW,NAC513,,,
ACT202,14,TsA,08:00 AM - 09:30 AM ST,NAC411,,,
ACT202,15,TsA,09:40 AM - 11:10 AM ST,NAC206,,,
ACT202,16,TBA,08:00 AM - 09:30 AM RA,NAC206,,,
ACT202,17,TBA,01:00 PM - 02:30 PM RA,NAC411,,,
ACT202,18,TBA,02:40 PM - 04:10 PM RA,NAC310,,,
ACT202,19,TBA,02:40 PM - 04:10 PM RA,NAC309,,,
ACT202,20,TBA,04:20 PM - 05:50 PM RA,NAC309,,,
ACT202,21,TBA,04:20 PM - 05:50 PM ST,NAC206,,,
ACT202,22,TBA,09:40 AM - 11:10 AM RA,NAC411,,,
ACT310,1,MGR,09:40 AM - 11:10 AM MW,NAC410,,,
ACT310,2,Rby,01:00 PM - 02:30 PM MW,NAC310,,,
ACT310,3,SHA1,04:20 PM - 05:50 PM ST,NAC309,,,
ACT320,1,MGR,11:20 AM - 12:50 PM ST,NAC411,,,
ACT320,2,RMH1,08:00 AM - 09:30 AM MW,NAC508,,,
ACT360,1,MIBS,09:40 AM - 11:10 AM MW,NAC411,,,
ACT360,2,Rby,02:40 PM - 04:10 PM ST,NAC509,,,
ACT370,1,AhU,01:00 PM - 02:30 PM ST,NAC309,,,
ACT370,2,RMH1,09:40 AM - 11:10 AM MW,NAC413,,,
ACT380,1,Fjm,02:40 PM - 04:10 PM MW,NAC602,,,
ACT410,1,AhU,11:20 AM - 12:50 PM ST,NAC307,,,
ACT460,1,MGR,01:00 PM - 02:30 PM ST,NAC508,,,
AMCS501,1,MSHS,07:00 PM - 10:10 PM T,SAC315,,,
AMCS503,1,ATA,07:00 PM - 10:10 PM M,SAC315,,,
AMCS509,1,UMM,07:00 PM - 10:10 PM S,SAC315,,,
AMCS512,1,Mla,04:20 PM - 05:50 PM MW,SAC315,,,
AMCS517,1,MTH,07:00 PM - 10:10 PM W,SAC315,,,
AMCS517L,1,MTH,07:00 PM - 10:10 PM R,SAC315,,,
ANT101,1,BSq,11:20 AM - 12:50 PM ST,NAC202,,,
ANT101,2,BSq,02:40 PM - 04:10 PM ST,NAC202,,,
ANT101,3,SRFz,08:00 AM - 09:30 AM ST,NAC512,,,
ANT101,4,SRFz,09:40 AM - 11:10 AM ST,NAC303,,,
ANT101,5,RJS,01:00 PM - 02:30 PM RA,NAC517,,,
ANT101,7,MTE,01:00 PM - 02:30 PM MW,NAC311,,,
ANT101,9,TZf,02:40 PM - 04:10 PM MW,NAC517,,,
ANT101,11,MTE,08:00 AM - 09:30 AM MW,NAC311,,,
ARC111,1,SQR,09:40 AM - 12:50 PM STR,OAT803,,,
ARC111,2,ASAA,09:40 AM - 12:50 PM STR,OAT803_V,,,
ARC111,3,ENM,09:40 AM - 12:50 PM STR,OAT803_V1,,,
ARC111,4,TBA,09:40 AM - 12:50 PM STR,OAT803_V2,,,
ARC112,1,AKD1,09:40 AM - 12:50 PM STR,OAT1002,,,
ARC112,2,RSBR,09:40 AM - 12:50 PM STR,OAT1002_V,,,
ARC112,3,NSDI,09:40 AM - 12:50 PM STR,LIB1002,,,
ARC112,4,TBA,09:40 AM - 12:50 PM STR,LIB1002_V,,,
ARC121,1,ASAA,09:40 AM - 12:50 PM MW,OAT803,,,
ARC121,2,ENM,09:40 AM - 12:50 PM MW,OAT803_V,,,
ARC121,3,TBA,09:40 AM - 12:50 PM MW,OAT803_V1,,,
