Course,Section,Faculty,Time,Room,Semester,Predicted Faculty,Records
ARC445,1,SIK3,01:00 PM - 02:30 PM ST,35(24),,,
ARC453,1,NAW,08:00 AM - 09:30 AM ST,35(5),,,
ARC456,1,NAW,08:00 AM - 09:30 AM MW,35(26),,,
ARC474,1,MFN,08:00 AM - 09:30 AM ST,35(14),,,
ARC492,1,SJD,08:00 AM - 09:30 AM R,30(13),,,
ARC500,1,MFN,01:00 PM - 02:30 PM R,30(13),,,
ARC510,1,RMY,09:40 AM - 12:50 PM STR,20(20),,,
ARC510,2,RQH,09:40 AM - 12:50 PM STR,20(17),,,
ARC519,1,MFN,09:40 AM - 12:50 PM STR,15(14),,,
ARC519,2,SIK3,09:40 AM - 12:50 PM STR,15(9),,,
ARC535,1,AHS1,02:40 PM - 04:10 PM S,35(10),,,
ARC576,1,ASAA,08:00 AM - 09:30 AM ST,35(35),,,
ARC596,1,SIU,09:40 AM - 12:50 PM STR,15(11),,,
ARC598,1,SSIM,08:00 AM - 09:30 AM R,30(1),,,
BBT203,2,OAH,09:40 AM - 11:10 AM ST,40(40),,,
BBT203,3,ESD,01:00 PM - 02:30 PM ST,40(40),,,
BBT221,1,HML,08:00 AM - 09:30 AM MW,40(40),,,
BBT221,4,PYN,04:20 PM - 05:50 PM ST,40(40),,,
BBT221,5,HML,01:00 PM - 02:30 PM MW,40(40),,,
BBT221,6,TSHQ,02:40 PM - 04:10 PM RA,40(40),,,
BBT230,1,OAH,08:00 AM - 09:30 AM ST,40(40),,,
BBT230,2,RHS,04:20 PM - 05:50 PM RA,40(40),,,
BBT312,1,MSH3,08:00 AM - 09:30 AM ST,40(40),,,
BBT312,2,MSH3,11:20 AM - 12:50 PM ST,40(40),,,
BBT312,3,MSH3,11:20 AM - 12:50 PM MW,40(40),,,
BBT312,4,MSH3,02:40 PM - 04:10 PM MW,40(40),,,
BBT312L,1,ESD,02:40 PM - 05:40 PM M,0(0),,,
BBT312L,2,ESD,02:40 PM - 05:40 PM M,0(0),,,
BBT312L,3,MTSA,11:20 AM - 02:20 PM T,20(20),,,
BBT312L,4,MTSA,11:20 AM - 02:20 PM T,20(20),,,
BBT312L,5,MTSA,08:00 AM - 11:00 AM W,20(20),,,
BBT312L,6,MTSA,08:00 AM - 11:00 AM W,20(20),,,
BBT314,1,KNH,11:20 AM - 12:50 PM ST,40(40),,,
BBT314,2,KNH,02:40 PM - 04:10 PM ST,40(40),,,
BBT314,3,OAH,01:00 PM - 02:30 PM MW,40(40),,,
BBT314,4,OAH,02:40 PM - 04:10 PM MW,40(40),,,
BBT314L,1,MAKN,08:00 AM - 11:00 AM T,0(0),,,
BBT314L,2,MAKN,08:00 AM - 11:00 AM T,0(0),,,
BBT314L,3,MTSA,02:40 PM - 05:40 PM T,20(20),,,
BBT314L,4,ESD,02:40 PM - 05:40 PM T,0(0),,,
BBT314L,5,MTSA,11:20 AM - 02:20 PM W,0(0),,,
BBT314L,6,MTSA,11:20 AM - 02:20 PM W,20(20),,,
BBT315,1,SMDA,04:20 PM - 05:50 PM ST,40(40),,,
BBT315,2,SMDA,01:00 PM - 02:30 PM MW,40(40),,,
BBT315,3,SMDA,02:40 PM - 04:10 PM MW,40(40),,,
BBT315,4,SFRH,08:00 AM - 09:30 AM MW,40(39),,,
BBT316,1,KNH,09:40 AM - 11:10 AM MW,40(40),,,
BBT316,2,KNH,11:20 AM - 12:50 PM MW,40(40),,,
BBT316,3,KNH,02:40 PM - 04:10 PM MW,40(40),,,
BBT316L,1,NRO,02:40 PM - 05:40 PM R,20(20),,,
BBT316L,2,NRO,02:40 PM - 05:40 PM R,20(20),,,
BBT316L,3,NRO,11:20 AM - 02:20 PM A,20(20),,,
BBT316L,4,NRO,11:20 AM - 02:20 PM R,20(20),,,
BBT317,1,SDL,09:40 AM - 11:10 AM MW,40(40),,,
BBT317,2,SDL,11:20 AM - 12:50 PM MW,40(40),,,
BBT317,3,MSH3,02:40 PM - 04:10 PM ST,40(40),,,
BBT317,4,MSH3,08:00 AM - 09:30 AM MW,40(40),,,
BBT318,1,SDL,11:20 AM - 12:50 PM ST,40(39),,,
BBT318,2,SDL,02:40 PM - 04:10 PM ST,40(23),,,
BBT318,3,IJN,09:40 AM - 11:10 AM ST,40(40),,,
BBT318,4,MALM,08:00 AM - 09:30 AM ST,40(40),,,
BBT335,1,IJN,01:00 PM - 02:30 PM ST,40(40),,,
BBT335,2,IJN,04:20 PM - 05:50 PM ST,40(40),,,
BBT335,3,IJN,01:00 PM - 02:30 PM MW,40(40),,,
BBT413,1,CAK,09:40 AM - 11:10 AM ST,40(40),,,
BBT413,2,CAK,11:20 AM - 12:50 PM ST,40(40),,,
BBT413,3,CAK,02:40 PM - 04:10 PM ST,40(22),,,
BBT413L,1,THN,08:00 AM - 11:00 AM T,20(20),,,
BBT413L,2,THN,08:00 AM - 11:00 AM T,20(20),,,
BBT415,1,CAK,09:40 AM - 11:10 AM MW,40(40),,,
BBT415,2,CAK,11:20 AM - 12:50 PM MW,40(40),,,
BBT415L,1,TSHQ,02:40 PM - 05:40 PM W,20(20),,,
BBT415L,2,TSHQ,02:40 PM - 05:40 PM W,20(20),,,
BBT416,1,MQN,11:20 AM - 12:50 PM ST,40(40),,,
BBT416,2,MQN,02:40 PM - 04:10 PM ST,40(40),,,
BBT416,3,OAH,08:00 AM - 09:30 AM MW,40(40),,,
BBT417,1,IJN,09:40 AM - 11:10 AM MW,40(35),,,
BBT417,2,IJN,04:20 PM - 05:50 PM MW,40(27),,,
BBT418,1,CAK,02:40 PM - 04:10 PM MW,40(25),,,
BBT419,1,SDL,09:40 AM - 11:10 AM ST,40(40),,,
BBT422,1,TBA,TBA,30(30),,,
BBT422,2,TBA,TBA,0(0),,,
BBT422,3,TBA,TBA,0(0),,,
BBT422,4,TBA,TBA,0(0),,,
BBT422,5,TBA,TBA,0(0),,,
BBT422,6,TBA,TBA,0(0),,,
BBT422,7,TBA,TBA,0(0),,,
BBT422,8,TBA,TBA,0(0),,,
BBT422,9,TBA,TBA,0(0),,,
BBT422,10,TBA,TBA,0(0),,,
BBT422,11,TBA,TBA,0(0),,,
BBT422,12,TBA,TBA,0(0),,,
BBT422,13,TBA,TBA,0(0),,,
BBT422,14,TBA,TBA,0(0),,,
BBT422,15,TBA,TBA,0(0),,,
BBT422,16,TBA,TBA,0(0),,,
BBT422,17,TBA,TBA,0(0),,,
BBT422,18,TBA,TBA,0(0),,,
BBT422,19,TBA,TBA,0(0),,,
BBT422,20,TBA,TBA,0(0),,,
BBT423,1,MALM,02:40 PM - 04:10 PM ST,40(40),,,
BBT424,1,SMDA,01:00 PM - 02:30 PM ST,40(40),,,
BBT424,2,SMDA,09:40 AM - 11:10 AM MW,40(40),,,
BBT427,1,MALM,02:40 PM - 04:10 PM MW,40(38),,,
BBT601,1,IQM,07:00 PM - 10:10 PM R,40(10),,,
BBT608,1,AWN,07:00 PM - 10:10 PM S,40(25),,,
BBT609,1,AWN,07:00 PM - 10:10 PM S,40(25),,,
BBT615,1,IQM,07:00 PM - 10:10 PM M,40(14),,,
BBT616,1,IQM,07:00 PM - 10:10 PM M,40(14),,,
BBT622,1,SRS1,07:00 PM - 10:10 PM W,40(11),,,
BBT623,1,SRS1,07:00 PM - 10:10 PM W,40(11),,,
BBT631,1,CQA,07:00 PM - 10:10 PM T,40(20),,,
BBT638,1,SBI,07:00 PM - 10:10 PM T,40(16),,,
BBT639,1,SBI,07:00 PM - 10:10 PM T,40(16),,,
BBT654,1,MALM,07:00 PM - 10:10 PM S,40(19),,,
BBT659,1,SDL,07:00 PM - 10:10 PM M,40(18),,,
BBT671,1,OAH,07:00 PM - 10:10 PM R,40(30),,,
BBT685,1,RHS,09:00 AM - 12:00 PM F,40(4),,,
BBT701,1,TBA,TBA,10(0),,,
BBT702,1,TBA,TBA,10(5),,,
BBT702,2,TBA,TBA,0(0),,,
BBT702,3,TBA,TBA,0(0),,,
BBT702,4,TBA,TBA,0(0),,,
BBT792,1,MQN,07:00 PM - 10:10 PM W,40(14),,,
BEN205,1,Shg,08:00 AM - 09:30 AM ST,35(35),,,
BEN205,2,NJb,09:40 AM - 11:10 AM ST,40(40),,,
BEN205,3,Rme,11:20 AM - 12:50 PM ST,35(35),,,
BEN205,4,Snj,01:00 PM - 02:30 PM ST,40(40),,,
BEN205,5,NJb,01:00 PM - 02:30 PM ST,40(40),,,
BEN205,6,Snj,02:40 PM - 04:10 PM ST,40(40),,,
BEN205,7,NJb,09:40 AM - 11:10 AM MW,40(40),,,
BEN205,8,NJb,01:00 PM - 02:30 PM MW,40(40),,,
BEN205,9,Rme,01:00 PM - 02:30 PM MW,40(40),,,
BEN205,10,TBA,08:00 AM - 09:30 AM RA,40(40),,,
BEN205,11,Rme,04:20 PM - 05:50 PM MW,40(40),,,
BEN205,12,TBA,01:00 PM - 02:30 PM RA,40(40),,,
BEN205,13,TBA,01:00 PM - 02:30 PM RA,40(40),,,
BEN205,14,TBA,02:40 PM - 04:10 PM RA,35(35),,,
BEN205,15,TBA,04:20 PM - 05:50 PM RA,40(40),,,
BEN205,16,TBA,08:00 AM - 09:30 AM RA,40(40),,,
BEN205,17,TBA,08:00 AM - 09:30 AM RA,40(40),,,
BEN205,18,TBA,11:20 AM - 12:50 PM RA,40(40),,,
BEN205,20,TBA,08:00 AM - 09:30 AM RA,40(40),,,
BEN205,21,TBA,04:20 PM - 05:50 PM RA,40(40),,,
BEN205,22,Rme,01:00 PM - 02:30 PM ST,35(35),,,
BIO103,1,SKK,02:40 PM - 04:10 PM ST,40(40),,,
BIO103,2,NBB,04:20 PM - 05:50 PM MW,40(40),,,
BIO103,3,HRA,08:00 AM - 09:30 AM ST,40(40),,,
BIO103,4,HRA,02:40 PM - 04:10 PM ST,40(40),,,
BIO103,5,FZD,09:40 AM - 11:10 AM ST,40(40),,,
BIO103,6,HRA,02:40 PM - 04:10 PM MW,40(40),,,
BIO103,7,AWN,04:20 PM - 05:50 PM ST,40(40),,,
BIO103,8,HRA,08:00 AM - 09:30 AM MW,40(40),,,
BIO103,9,FMJ,06:00 PM - 07:30 PM MW,40(40),,,
BIO103,10,SUBK,06:00 PM - 07:30 PM ST,40(39),,,
BIO103,11,SUBK,04:20 PM - 05:50 PM ST,40(40),,,
BIO103,12,AWN,01:00 PM - 02:30 PM ST,40(40),,,
BIO103,13,MTSA,09:40 AM - 11:10 AM RA,40(40),,,
BIO103,14,THN,11:20 AM - 12:50 PM RA,40(40),,,
BIO103,15,MTSA,04:20 PM - 05:50 PM RA,6(6),,,
BIO103,16,APZ,08:00 AM - 09:30 AM RA,40(40),,,
BIO103,17,MSIM,08:00 AM - 09:30 AM RA,40(26),,,
BIO103,18,ABE,08:00 AM - 09:30 AM RA,40(40),,,
BIO103,20,NIA,04:20 PM - 05:50 PM RA,40(40),,,
BIO103,21,LtB,04:20 PM - 05:50 PM RA,40(40),,,
BIO103,22,HIM,08:00 AM - 09:30 AM RA,40(5),,,
BIO103,23,APZ,09:40 AM - 11:10 AM RA,40(40),,,
BIO103,24,AAM4,08:00 AM - 09:30 AM RA,40(40),,,
BIO103,25,AAM4,09:40 AM - 11:10 AM RA,40(40),,,
BIO103,26,MRIS,11:20 AM - 12:50 PM RA,40(39),,,
BIO103,27,NIA,11:20 AM - 12:50 PM RA,40(40),,,
BIO103,28,APZ,01:00 PM - 02:30 PM RA,40(40),,,
BIO103,29,LTB,01:00 PM - 02:30 PM RA,40(40),,,
BIO103,30,RHS,01:00 PM - 02:30 PM RA,40(40),,,
BIO103,31,MZAR,01:00 PM - 02:30 PM RA,40(40),,,
BIO103,32,ABE,01:00 PM - 02:30 PM RA,40(40),,,
BIO103,33,HIM,09:40 AM - 11:10 AM RA,40(29),,,
BIO103,34,THN,02:40 PM - 04:10 PM RA,40(40),,,
BIO103,35,MBMD,02:40 PM - 04:10 PM RA,40(40),,,
BIO103,36,MTSA,02:40 PM - 04:10 PM RA,40(32),,,
BIO103,37,RHS,04:20 PM - 05:50 PM RA,1(1),,,
BIO103,38,MRIS,04:20 PM - 05:50 PM RA,40(14),,,
BIO103,39,FMJ,04:20 PM - 05:50 PM MW,40(40),,,
BIO103,40,FZD,04:20 PM - 05:50 PM MW,40(11),,,
BIO103,44,HIM,06:00 PM - 07:30 PM RA,40(3),,,
BIO103,45,MRIS,02:40 PM - 04:10 PM RA,40(11),,,
BIO103,46,NIA,02:40 PM - 04:10 PM RA,40(40),,,
BIO103,47,FMJ,01:00 PM - 02:30 PM MW,40(40),,,
BIO103L,1,KLQ,11:20 AM - 02:20 PM M,10(10),,,
BIO103L,2,KLQ,11:20 AM - 02:20 PM M,20(20),,,
BIO103L,3,KLQ,02:40 PM - 05:40 PM M,10(10),,,
BIO103L,4,HRA,11:20 AM - 02:20 PM S,10(10),,,
BIO103L,5,HRA,11:20 AM - 02:20 PM S,20(20),,,
BIO103L,6,HRA,11:20 AM - 02:20 PM T,10(10),,,
BIO103L,7,HRA,11:20 AM - 02:20 PM T,20(20),,,
BIO103L,8,SRS1,11:20 AM - 02:20 PM W,20(20),,,
BIO103L,9,SRS1,11:20 AM - 02:20 PM W,10(10),,,
BIO103L,10,FSS1,11:20 AM - 02:20 PM R,10(10),,,
BIO103L,11,FSS1,11:20 AM - 02:20 PM R,20(20),,,
BIO103L,12,FDDN,02:40 PM - 05:40 PM S,10(10),,,
BIO103L,13,FDDN,02:40 PM - 05:40 PM T,10(10),,,
BIO103L,14,FDDN,02:40 PM - 05:40 PM W,20(20),,,
BIO103L,15,MTO,02:40 PM - 05:40 PM S,10(10),,,
BIO103L,16,MTO,02:40 PM - 05:40 PM M,20(20),,,
BIO103L,17,MTO,02:40 PM - 05:40 PM T,20(20),,,
BIO103L,18,MTO,02:40 PM - 05:40 PM W,10(10),,,
BIO103L,19,MTO,08:00 AM - 11:00 AM R,20(20),,,
BIO103L,20,MTO,08:00 AM - 11:00 AM R,20(20),,,
BIO103L,21,KMRH,08:00 AM - 11:00 AM M,10(10),,,
BIO103L,22,KMRH,08:00 AM - 11:00 AM M,20(20),,,
BIO103L,23,KMRH,08:00 AM - 11:00 AM T,20(20),,,
BIO103L,24,KMRH,08:00 AM - 11:00 AM T,10(10),,,
BIO103L,25,KMRH,08:00 AM - 11:00 AM W,20(20),,,
BIO103L,26,KMRH,08:00 AM - 11:00 AM W,20(20),,,
BIO103L,27,FHO,02:40 PM - 05:40 PM R,10(10),,,
BIO103L,28,FHO,02:40 PM - 05:40 PM R,10(10),,,
BIO103L,29,FHO,11:20 AM - 02:20 PM A,10(10),,,
BIO103L,30,FHO,11:20 AM - 02:20 PM A,20(20),,,
BIO103L,31,FHO,02:40 PM - 05:40 PM A,10(10),,,
BIO103L,32,SUBK,08:00 AM - 11:00 AM S,20(20),,,
BIO103L,33,SUBK,08:00 AM - 11:00 AM S,10(10),,,
BIO201,1,KLQ,11:20 AM - 12:50 PM ST,40(40),,,
BIO201,2,ESD,08:00 AM - 09:30 AM ST,40(40),,,
BIO201,3,SFRH,08:00 AM - 09:30 AM ST,40(40),,,
BIO201,4,HML,11:20 AM - 12:50 PM ST,40(40),,,
BIO201,5,HML,01:00 PM - 02:30 PM ST,40(40),,,
BIO201,7,ESD,08:00 AM - 09:30 AM MW,40(40),,,
BIO201,8,NTA,08:00 AM - 09:30 AM RA,40(40),,,
BIO201,9,NTA,01:00 PM - 02:30 PM RA,40(40),,,
BIO201,10,FZD,02:40 PM - 04:10 PM MW,40(40),,,
BIO201,15,NTA,02:40 PM - 04:10 PM RA,40(40),,,
BIO201L,1,SMDA,08:00 AM - 11:00 AM S,20(20),,,
BIO201L,2,SMDA,08:00 AM - 11:00 AM S,20(20),,,
BIO201L,3,MALM,11:20 AM - 02:20 PM S,20(20),,,
BIO201L,4,MALM,11:20 AM - 02:20 PM S,20(20),,,
BIO201L,5,NTA,02:40 PM - 05:40 PM S,20(20),,,
BIO201L,6,NTA,02:40 PM - 05:40 PM S,20(20),,,
BIO201L,7,NTA,08:00 AM - 11:00 AM M,20(20),,,
BIO201L,8,NTA,08:00 AM - 11:00 AM M,20(20),,,
BIO201L,9,NTA,11:20 AM - 02:20 PM M,20(20),,,
BIO201L,10,NTA,11:20 AM - 02:20 PM M,20(20),,,
BIO201L,11,MALM,11:20 AM - 02:20 PM T,20(20),,,
BIO201L,12,MALM,11:20 AM - 02:20 PM T,20(20),,,
BIO201L,13,MALM,08:00 AM - 11:00 AM W,20(20),,,
BIO201L,14,MALM,08:00 AM - 11:00 AM W,20(20),,,
BIO201L,15,SMDA,08:00 AM - 11:00 AM R,20(20),,,
BIO202,1,SKK,09:40 AM - 11:10 AM ST,40(40),,,
BIO202,2,SKK,11:20 AM - 12:50 PM ST,40(40),,,
BIO202,3,SRS1,01:00 PM - 02:30 PM ST,40(40),,,
BIO202,4,SRS1,02:40 PM - 04:10 PM ST,40(40),,,
BIO202,5,MTO,09:40 AM - 11:10 AM ST,40(40),,,
BIO202,6,MTO,11:20 AM - 12:50 PM ST,40(40),,,
BIO202,7,MTO,09:40 AM - 11:10 AM MW,40(40),,,
BIO202,8,MTO,11:20 AM - 12:50 PM MW,40(40),,,
BIO202,9,FHO,08:00 AM - 09:30 AM RA,40(40),,,
BIO202,10,FHO,09:40 AM - 11:10 AM RA,40(40),,,
