Course,Section,Faculty,Time,Room,Semester,Predicted Faculty,Records
ACT201,1,AhU,11:20 AM - 12:50 PM RA,40(40),,,
ACT201,2,ARm,01:00 PM - 02:30 PM ST,40(40),,,
ACT201,3,ARm,02:40 PM - 04:10 PM ST,40(40),,,
ACT201,4,Asy,09:40 AM - 11:10 AM MW,40(40),,,
ACT201,5,Asy,11:20 AM - 12:50 PM MW,40(40),,,
ACT201,6,AWKm,02:40 PM - 04:10 PM RA,40(40),,,
ACT201,7,FI,01:00 PM - 02:30 PM MW,40(40),,,
ACT201,8,FI,02:40 PM - 04:10 PM MW,40(40),,,
ACT201,9,HAS,04:20 PM - 05:50 PM ST,40(40),,,
ACT201,10,IAC,09:40 AM - 11:10 AM ST,40(40),,,
ACT201,11,MdM,11:20 AM - 12:50 PM ST,40(40),,,
ACT201,12,MIBS,08:00 AM - 09:30 AM ST,40(40),,,
ACT201,13,MN,01:00 PM - 02:30 PM MW,40(40),,,
ACT201,14,MN,02:40 PM - 04:10 PM MW,40(40),,,
ACT201,15,MN,01:00 PM - 02:30 PM ST,40(40),,,
ACT201,16,MN,02:40 PM - 04:10 PM ST,40(40),,,
ACT201,17,NNh,09:40 AM - 11:10 AM MW,40(40),,,
ACT201,18,NNh,11:20 AM - 12:50 PM MW,40(40),,,
ACT201,19,SHA1,02:40 PM - 04:10 PM ST,40(40),,,
ACT201,20,TsA,08:00 AM - 09:30 AM MW,40(40),,,
ACT201,21,TBA,06:00 PM - 07:30 PM MW,40(40),,,
ACT201,22,TBA,02:40 PM - 04:10 PM ST,40(40),,,
ACT201,23,TBA,01:00 PM - 02:30 PM ST,40(40),,,
ACT201,24,TBA,01:00 PM - 02:30 PM RA,40(40),,,
ACT201,25,TBA,09:40 AM - 11:10 AM RA,40(40),,,
ACT201,26,TBA,02:40 PM - 04:10 PM RA,40(40),,,
ACT201,27,TBA,04:20 PM - 05:50 PM MW,40(40),,,
ACT201,28,TBA,09:40 AM - 11:10 AM RA,40(40),,,
ACT201,29,TBA,04:20 PM - 05:50 PM MW,0(0),,,
ACT201,30,TBA,04:20 PM - 05:50 PM ST,0(0),,,
ACT202,1,FI,01:00 PM - 02:30 PM ST,40(40),,,
ACT202,2,FI,02:40 PM - 04:10 PM ST,40(40),,,
ACT202,3,IAC,08:00 AM - 09:30 AM MW,40(39),,,
ACT202,4,IAC,11:20 AM - 12:50 PM MW,40(40),,,
ACT202,5,MGR,08:00 AM - 09:30 AM ST,40(40),,,
ACT202,6,MIBS,08:00 AM - 09:30 AM MW,40(40),,,
ACT202,7,MRE,11:20 AM - 12:50 PM RA,40(40),,,
ACT202,8,Rby,01:00 PM - 02:30 PM ST,40(40),,,
ACT202,9,RMH1,11:20 AM - 12:50 PM ST,40(40),,,
ACT202,10,RMH1,08:00 AM - 09:30 AM ST,40(40),,,
ACT202,11,SHA1,01:00 PM - 02:30 PM MW,40(40),,,
ACT202,12,SHA1,02:40 PM - 04:10 PM MW,40(40),,,
ACT202,13,Sys,11:20 AM - 12:50 PM MW,40(40),,,
ACT202,14,TsA,08:00 AM - 09:30 AM ST,40(40),,,
ACT202,15,TsA,09:40 AM - 11:10 AM ST,40(40),,,
ACT202,16,TBA,08:00 AM - 09:30 AM RA,40(40),,,
ACT202,17,TBA,01:00 PM - 02:30 PM RA,40(40),,,
ACT202,18,TBA,02:40 PM - 04:10 PM RA,40(40),,,
ACT202,19,TBA,02:40 PM - 04:10 PM RA,40(40),,,
ACT202,20,TBA,04:20 PM - 05:50 PM RA,40(23),,,
ACT202,21,TBA,04:20 PM - 05:50 PM ST,40(40),,,
ACT202,22,TBA,09:40 AM - 11:10 AM RA,40(40),,,
ACT202,23,Rby,04:20 PM - 05:50 PM MW,40(40),,,
ACT202,24,TBA,04:20 PM - 05:50 PM ST,40(31),,,
ACT310,1,MGR,09:40 AM - 11:10 AM MW,40(40),,,
ACT310,2,Rby,01:00 PM - 02:30 PM MW,40(40),,,
ACT310,3,SHA1,04:20 PM - 05:50 PM ST,40(8),,,
ACT320,1,MGR,11:20 AM - 12:50 PM ST,40(33),,,
ACT320,2,RMH1,08:00 AM - 09:30 AM MW,40(40),,,
ACT360,1,MIBS,09:40 AM - 11:10 AM MW,40(17),,,
ACT360,2,Rby,02:40 PM - 04:10 PM ST,40(30),,,
ACT370,1,AhU,01:00 PM - 02:30 PM ST,40(16),,,
ACT370,2,RMH1,09:40 AM - 11:10 AM MW,40(40),,,
ACT380,1,Fjm,02:40 PM - 04:10 PM MW,40(33),,,
ACT410,1,AhU,11:20 AM - 12:50 PM ST,40(16),,,
ACT430,1,MGR,08:00 AM - 09:30 AM MW,40(20),,,
ACT460,1,MGR,01:00 PM - 02:30 PM ST,40(4),,,
AMCS501,1,MSHS,07:00 PM - 10:10 PM T,40(4),,,
AMCS501L,1,MSHs,07:00 PM - 10:10 PM R,40(3),,,
AMCS503,1,ATA,07:00 PM - 10:10 PM M,40(5),,,
AMCS509,1,UMM,07:00 PM - 10:10 PM S,40(3),,,
AMCS512,2,MLA,04:20 PM - 05:50 PM MW,32(29),,,
AMCS517,1,MTH,07:00 PM - 10:10 PM W,40(3),,,
AMCS517L,1,MTH,07:00 PM - 10:10 PM R,40(2),,,
ANT101,1,BSq,11:20 AM - 12:50 PM ST,40(40),,,
ANT101,2,BSq,02:40 PM - 04:10 PM ST,40(40),,,
ANT101,3,SRFz,08:00 AM - 09:30 AM ST,40(40),,,
ANT101,4,SRFz,09:40 AM - 11:10 AM ST,40(40),,,
ANT101,5,RJS,01:00 PM - 02:30 PM RA,80(80),,,
ANT101,7,MTE,01:00 PM - 02:30 PM MW,80(36),,,
ANT101,9,TZf,02:40 PM - 04:10 PM MW,80(50),,,
ANT101,11,MTE,08:00 AM - 09:30 AM MW,40(10),,,
ARC111,1,SQR,09:40 AM - 12:50 PM STR,16(16),,,
ARC111,2,ASAA,09:40 AM - 12:50 PM STR,15(15),,,
ARC111,3,ENM,09:40 AM - 12:50 PM STR,15(15),,,
ARC111,4,TBA,09:40 AM - 12:50 PM STR,15(15),,,
ARC112,1,AKD1,09:40 AM - 12:50 PM STR,15(15),,,
ARC112,2,RSBR,09:40 AM - 12:50 PM STR,15(15),,,
ARC112,3,NSDI,09:40 AM - 12:50 PM STR,15(15),,,
ARC112,4,TBA,09:40 AM - 12:50 PM STR,15(13),,,
ARC121,1,ASAA,09:40 AM - 12:50 PM MW,16(16),,,
ARC121,2,ENM,09:40 AM - 12:50 PM MW,15(15),,,
ARC121,3,TBA,09:40 AM - 12:50 PM MW,15(15),,,
ARC121,4,TBA,09:40 AM - 12:50 PM MW,15(15),,,
ARC122,1,SIU,09:40 AM - 12:50 PM MW,15(15),,,
ARC122,2,RSBR,09:40 AM - 12:50 PM MW,15(15),,,
ARC122,3,TBA,09:40 AM - 12:50 PM MW,15(15),,,
ARC122,4,TBA,09:40 AM - 12:50 PM MW,15(15),,,
ARC131,1,SIK3,08:00 AM - 09:30 AM ST,35(35),,,
ARC131,2,AKD1,01:00 PM - 02:30 PM ST,35(35),,,
ARC131,3,AKD1,02:40 PM - 04:10 PM ST,35(35),,,
ARC131,4,AHS1,01:00 PM - 02:30 PM ST,35(35),,,
ARC133,1,RMY,08:00 AM - 09:30 AM W,35(35),,,
ARC133,2,SNF,04:20 PM - 05:50 PM S,35(35),,,
ARC200,1,MUN,04:20 PM - 06:20 PM M,15(15),,,
ARC200,2,MUN,878,15(14),,,
ARC213,1,SNF,09:40 AM - 12:50 PM STR,15(15),,,
ARC213,2,AHS1,09:40 AM - 12:50 PM STR,15(15),,,
ARC213,3,RMY,880,15(15),,,
ARC213,4,RTS,880,15(15),,,
ARC214,1,SJD,09:40 AM - 12:50 PM STR,15(15),,,
ARC214,2,TBA,09:40 AM - 12:50 PM STR,15(15),,,
ARC215,1,NAW,09:40 AM - 12:50 PM STR,20(19),,,
ARC215,2,RTS,09:40 AM - 12:50 PM STR,20(20),,,
ARC241,1,SQR,01:00 PM - 02:30 PM ST,35(35),,,
ARC242,1,SIK3,02:40 PM - 04:10 PM ST,35(35),,,
ARC251,1,NAW,02:40 PM - 04:10 PM ST,35(31),,,
ARC261,1,SIU,01:00 PM - 02:30 PM ST,35(35),,,
ARC262,1,SIU,01:00 PM - 02:30 PM MW,35(35),,,
ARC263,1,MFN,01:00 PM - 02:30 PM ST,35(35),,,
ARC264,1,MFN,02:40 PM - 04:40 PM S,35(11),,,
ARC271,1,AKD1,02:40 PM - 04:10 PM MW,35(34),,,
ARC271,2,NTL,08:00 AM - 09:30 AM MW,35(25),,,
ARC272,1,MUN,02:40 PM - 04:10 PM MW,35(35),,,
ARC273,1,NTL,09:40 AM - 11:40 AM M,15(15),,,
ARC273,2,NTL,11:40 AM - 01:40 AM M,15(15),,,
ARC281,1,NMSN,02:40 PM - 05:40 PM W,35(27),,,
ARC282,1,TBA,02:40 PM - 05:40 PM M,0(0),,,
ARC282,2,TBA,01:00 PM - 03:00 PM M,35(30),,,
ARC283,1,TMY,01:00 PM - 03:00 PM M,0(0),,,
ARC293,1,ASAA,02:40 PM - 05:50 PM ST,20(20),,,
ARC316,1,MZC,09:40 AM - 12:50 PM STR,15(15),,,
ARC317,1,SSIM,09:40 AM - 12:50 PM STWR,15(15),,,
ARC317,2,TBA,09:40 AM - 12:50 PM STWR,15(15),,,
ARC317,3,TBA,09:40 AM - 12:50 PM STWR,15(14),,,
ARC318,1,MUN,09:40 AM - 12:50 PM STWR,15(15),,,
ARC318,2,NIC,09:40 AM - 12:50 PM STWR,15(6),,,
ARC324,1,SNF,01:00 PM - 04:10 PM ST,15(15),,,
ARC324,2,RQH,01:00 PM - 04:10 PM ST,15(15),,,
ARC324,3,TBA,01:00 PM - 04:10 PM ST,15(11),,,
ARC334,1,AHS1,08:00 AM - 09:30 AM W,35(35),,,
ARC343,1,MUN,01:00 PM - 02:30 PM MW,35(35),,,
ARC344,1,SSIM,08:00 AM - 09:30 AM ST,35(26),,,
ARC348,1,SSIM,01:00 PM - 02:30 PM MW,35(8),,,
ARC384,1,TMY,02:40 PM - 04:10 PM ST,35(12),,,
ARC410,1,SJD,08:00 AM - 09:30 AM ST,35(34),,,
ARC418,1,NTL,09:40 AM - 12:50 PM STWR,15(15),,,
ARC418,2,OFS,09:40 AM - 12:50 PM STWR,15(15),,,
ARC418,3,TBA,09:40 AM - 12:50 PM STWR,15(15),,,
ARC437,1,MUN,08:00 AM - 09:30 AM R,35(35),,,
