Bus Name,Routes
Alif (আলিফ),⇄ Mirpur 14 (মিরপুর ১৪) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Mazar Road (মাজার রোড) ⇄ Konabari (কোনাবাড়ি) ⇄ Rupnagar (রূপনগর) ⇄ Beribadh (বেড়িবাঁধ) ⇄ Birulia (বিরুলিয়া) ⇄ Ashulia (আশুলিয়া) ⇄ Zirabo (জিরাবো) ⇄ Fantasy Kingdom (ফ্যান্টাসি কিংডম) ⇄ Nandan Park (নন্দন পার্ক)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Alif (আলিফ),⇄ Shia Masjid (শিয়া মসজিদ) ⇄ Japan Garden City (জাপান গার্ডেন সিটি) ⇄ Adabor (আদাবর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ Agargaon (আগারগাঁও) ⇄ Zia Uddyan (জিয়া উদ্যান) ⇄ Bijoy Sarani (বিজয় সারাণী) ⇄ Jahangir Gate (জাহাঙ্গীর গেট) ⇄ Mohakhali (মহাখালী) ⇄ Wireless (ওয়্যারলেস) ⇄ Golshan 1 (গুলশান ১) ⇄ Badda Link Road (বাড্ডা লিংক রোড) ⇄ Madhya Badda (মধ্য বাড্ডা) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Banasree (বনশ্রী)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Alif (আলিফ),⇄ Mirpur 1 (মিরপুর ১) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Kazipara (কাজীপাড়া) ⇄ Shewrapara (শেওড়াপাড়া) ⇄ Agargaon (আগারগাঁও) ⇄ Bijoy Sarani (বিজয় সারাণী) ⇄ Jahangir Gate (জাহাঙ্গীর গেট) ⇄ Mohakhali (মহাখালী) ⇄ Wireless (ওয়্যারলেস) ⇄ Golshan 1 (গুলশান ১) ⇄ Badda Link Road (বাড্ডা লিংক রোড) ⇄ Madhya Badda (মধ্য বাড্ডা) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Banasree (বনশ্রী)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Alif (আলিফ),⇄ Japan Garden City (জাপান গার্ডেন সিটি) ⇄ Ring Road (রিং রোড) ⇄ Adabor (আদাবর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ Agargaon (আগারগাঁও) ⇄ Zia Uddyan (জিয়া উদ্যান) ⇄ Bijoy Sarani (বিজয় সারাণী) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Jahangir Gate (জাহাঙ্গীর গেট) ⇄ Mohakhali (মহাখালী) ⇄ Chairman Bari (চেয়ারম্যান বাড়ী) ⇄ Sainik Club (সৈনিক ক্লাব) ⇄ Kakali (কাকলী) ⇄ Banani (বনানী) ⇄ Staff Road (স্টাফ রোড) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Anabil Super (অনাবিল সুপার),⇄ Sign Board (সাইন বোর্ড) ⇄ Shonir Akhra (শনির আখরা) ⇄ Jatrabari (যাত্রাবাড়ি) ⇄ Mugdapara (মুগদাপাড়া) ⇄ Bashabo (বাসাবো) ⇄ Khilgaon (খিলগাঁও) ⇄ Malibagh Railgate (মালিবাগ রেলগেট) ⇄ Hazipara (হাজীপাড়া) ⇄ Rampura Bazar (রামপুরা বাজার) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Nadda (নদ্দা) ⇄ Bashtola (বাঁশতলা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Nadda (নদ্দা) ⇄ Khilkhet (খিলক্ষেত) ⇄ Bashundhara (বসুন্ধরা) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Tongi (টঙ্গী) ⇄ Station Road (স্টেশন রোড) ⇄ Mill Gate (মিল গেট) ⇄ Board Bazar (বোর্ড বাজার) ⇄ Gazipur Bypass (গাজীপুর বাইপাস) ⇄ Gazipur Chourasta (গাজীপুর চৌরাস্তা)⏰ Starting Time: 06:00 AM & Closing Time: 12:00 AM🚌 Seating Service Type: Seating Service 
Arnob (অরনব),⇄ Hemayetpur (হেমায়েতপুর) ⇄ Amin Bazar (আমিন বাজার) ⇄ Gabtoli (গাবতলি) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ Agargaon (আগারগাঁও) ⇄ Zia Uddyan (জিয়া উদ্যান) ⇄ Bijoy Sarani (বিজয় সারাণী) ⇄ Jahangir Gate (জাহাঙ্গীর গেট) ⇄ Mohakhali (মহাখালী) ⇄ Wireless (ওয়্যারলেস) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Badda Link Road (বাড্ডা লিংক রোড) ⇄ Madhya Badda (মধ্য বাড্ডা) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Banasree (বনশ্রী) ⇄ Demra Staff Quarter (ডেমরা স্টাফ কোয়ার্টার)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Ashirbad Pahibahan (আশীর্বাদ পরিবহন),⇄ Duairipara (দুয়াইরিপাড়া) ⇄ Rupnagar Abashik (রূপনগর আবাসিক) ⇄ Shiyal Bari (শিয়াল বাড়ি) ⇄ Proshika Moor (প্রশিকা মোড়) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ College Gate (কলেজ গেট) ⇄ Asad Gate (আসাদ গেট) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Shukrabad (শুক্রাবাদ) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ Kalabagan (কলাবাগান) ⇄ City College (সিটি কলেজ) ⇄ New Market (নিউ মার্কেট) ⇄ Nilkhet (নীলক্ষেত) ⇄ Azimpur (আজিমপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Ashulia Classic (আশুলিয়া ক্লাসিক),⇄ Nobinagar (নবীনগর) ⇄ Baipayl (বাইপাইল) ⇄ Jamgora (জামগড়া) ⇄ Fantasy Kingdom (ফ্যান্টাসি কিংডম) ⇄ Zirabo (জিরাবো) ⇄ Asulia Bazar (আশুলিয়া বাজার) ⇄ Kamarpara (কামারপাড়া) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Azampur (আজমপুর) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Airport (বিমানবন্দর) ⇄ Khilkhet (খিলক্ষেত) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Shewra (শেওড়া) ⇄ MES (এমইএস) ⇄ Kakali (কাকলী) ⇄ Banani (বনানী) ⇄ Chairman Bari (চেয়ারম্যান বাড়ী) ⇄ Mohakhali (মহাখালী) ⇄ Nabisco (নাবিস্কো) ⇄ Sat rasta (সাত রাস্তা)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Asmani (আসমানী),⇄ Dhour (ঢাউর) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Azampur (আজমপুর) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Airport (বিমানবন্দর) ⇄ Khilkhet (খিলক্ষেত) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Bashundhara (বসুন্ধরা) ⇄ Nadda (নদ্দা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Bashtola (বাঁশতলা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Badda (বাড্ডা) ⇄ Madhya Badda (মধ্য বাড্ডা) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Banasree (বনশ্রী) ⇄ Demra Staff Quarter (ডেমরা স্টাফ কোয়ার্টার) ⇄ Tarabo (তারাবো) ⇄ Madanpur (মদনপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
ATCL (এটিসিএল ),⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Asad Gate (আসাদ গেট) ⇄ Shukrabad (শুক্রাবাদ) ⇄ Kalabagan (কলাবাগান) ⇄ City College (সিটি কলেজ) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Katabon (কাটাবন) ⇄ Bata Signal (বাটা সিগন্যাল) ⇄ Shahbag (শাহবাগ) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ GPO (জিপিও) ⇄ Gulistan (গুলিস্তান) ⇄ Arambagh Notre Dame College (আরামবাগ নটর ডেম কলেজ)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
