Bus Name,Routes
BRTC (বি আর টিসি),⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Star Kabab (স্টার কাবাব) ⇄ Dhanmondi (ধানমন্ডি) ⇄ Jigatola (জিগাতোলা) ⇄ City College (সিটি কলেজ) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Shahbag (শাহবাগ) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ GPO (জিপিও) ⇄ Gulistan (গুলিস্তান) ⇄ Motijheel (মতিঝিল)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
BRTC (বি আর টিসি),⇄ Gabtoli (গাবতলি) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Kalshi (কালশী) ⇄ ECB Square (ইসিবি স্কয়ার) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Tongi (টঙ্গী) ⇄ Mill Gate (মিল গেট) ⇄ Board Bazar (বোর্ড বাজার) ⇄ Gazipur Bypass (গাজীপুর বাইপাস) ⇄ Gazipur Chourasta (গাজীপুর চৌরাস্তা)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
BRTC Articulated বি আর টিসি আরটিকুলেটেড),⇄ Balughat (বালুঘাট) ⇄ Cantonment (ক্যান্টনমেন্ট) ⇄ Bijoy Sarani (বিজয় সারাণী) ⇄ Farmgate (ফার্মগেট) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Shahbag (শাহবাগ) ⇄ Paltan (পল্টন) ⇄ Gulistan (গুলিস্তান) ⇄ Motijheel (মতিঝিল)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Cantonment (ক্যান্টনমেন্ট),⇄ Mirpur 14 (মিরপুর ১৪) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Technical (টেকনিক্যাল) ⇄ Gabtoli (গাবতলি) ⇄ Amin Bazar (আমিন বাজার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Savar (সাভার)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Cantonment Mini Service (ক্যান্টনমেন্ট মিনি সার্ভিস),⇄ Mirpur 14 (মিরপুর ১৪) ⇄ Sainik Club (সৈনিক ক্লাব) ⇄ Kakali (কাকলী) ⇄ Banani (বনানী) ⇄ Mohakhali (মহাখালী)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Champion (চ্যাম্পিয়ন),⇄ Vashantek (ভাসানটেক) ⇄ Mirpur 14 (মিরপুর ১৪) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Technical (টেকনিক্যাল) ⇄ Gabtoli (গাবতলি)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
City Link (সিটি লিংক),⇄ Chittagong Road (চট্টগ্রাম রোড) ⇄ Sign Board (সাইন বোর্ড) ⇄ Matuail (মাতুয়াইল) ⇄ Rayerbag (রায়েরবাগ) ⇄ Shonir Akhra (শনির আখরা) ⇄ Jatrabari (যাত্রাবাড়ি) ⇄ Sayapabad (সায়াপাবাদ) ⇄ Gulistan (গুলিস্তান) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Press Club (প্রেস ক্লাব) ⇄ High Court (উচ্চ আদালত) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ Shahbag (শাহবাগ) ⇄ Bata Signal (বাটা সিগন্যাল) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ City College (সিটি কলেজ) ⇄ Jigatola (জিগাতোলা) ⇄ Dhanmondi 15 (ধানমন্ডি ১৫) ⇄ Star Kabab (স্টার কাবাব) ⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Bosila (বসিলা) ⇄ Ghatar Char (ঘাটার চর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
D Link (ডি লিংক),⇄ Fulbaria (ফুলবাড়িয়া) ⇄ Chankhar Pul (চাঁকহার পুল) ⇄ Bakshi Bazar (বকশী বাজার) ⇄ Azimpur (আজিমপুর) ⇄ Nilkhet (নীলক্ষেত) ⇄ New Market (নিউ মার্কেট) ⇄ City College (সিটি কলেজ) ⇄ Kalabagan (কলাবাগান) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Asad Gate (আসাদ গেট) ⇄ College Gate (কলেজ গেট) ⇄ Shishu Mela (শিশু মেলা) ⇄ Shyamoli (শ্যামলী) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Darussalam (দারুস্সালাম) ⇄ Technical (টেকনিক্যাল) ⇄ Gabtoli (গাবতলি) ⇄ Amin Bazar (আমিন বাজার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Savar (সাভার) ⇄ Dhamrai (ধামরাই)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
D One Transport (ডি ওয়ান),⇄ Motijheel (মতিঝিল) ⇄ Dainik Bangla Moor (দৈনিক বাংলা মোড়) ⇄ Paltan (পল্টন) ⇄ Press Club (প্রেস ক্লাব) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ High Court (উচ্চ আদালত) ⇄ Shahbag (শাহবাগ) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Farmgate (ফার্মগেট) ⇄ Asad Gate (আসাদ গেট) ⇄ College Gate (কলেজ গেট) ⇄ Shishu Mela (শিশু মেলা) ⇄ Shyamoli (শ্যামলী) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Technical (টেকনিক্যাল) ⇄ Gabtoli (গাবতলি) ⇄ Amin Bazar (আমিন বাজার) ⇄ Nobinagar (নবীনগর) ⇄ Dhamrai (ধামরাই)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Desh Bangla (দেশ বাংলা),⇄ Postogola (পোস্তগোলা) ⇄ Dholairpar (ধলাইড়পাড়) ⇄ Jatrabari (যাত্রাবাড়ি) ⇄ Sayapabad (সায়াপাবাদ) ⇄ Mugdapara (মুগদাপাড়া) ⇄ Malibagh (মালিবাগ) ⇄ Rampura Bazar (রামপুরা বাজার) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Bashtola (বাঁশতলা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Nadda (নদ্দা) ⇄ Bashundhara (বসুন্ধরা) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Kuril Chourasta (কুড়িল চৌরাস্তা) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Kamarpara (কামারপাড়া)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Dewan (দেওয়ান),⇄ Azimpur (আজিমপুর) ⇄ Eden College (ইডেন কলেজ) ⇄ Nilkhet (নীলক্ষেত) ⇄ New Market (নিউ মার্কেট) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ City College (সিটি কলেজ) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Katabon (কাটাবন) ⇄ Shahbag (শাহবাগ) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Farmgate (ফার্মগেট) ⇄ Jahangir Gate (জাহাঙ্গীর গেট) ⇄ Mohakhali (মহাখালী) ⇄ Wireless (ওয়্যারলেস) ⇄ Gulshan 1 (গুলশান ১) ⇄ Badda (বাড্ডা) ⇄ Badda Link Road (বাড্ডা লিংক রোড) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Bashtola (বাঁশতলা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Nadda (নদ্দা) ⇄ Bashundhara (বসুন্ধরা) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Dhakar Chaka (ঢাকার চাকা),⇄ Police Plaza (পুলিস প্লাজা) ⇄ Gulshan 1 (গুলশান ১) ⇄ Gulshan 2 (গুলশান ২)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Seating Service 
Dhakar Chaka (ঢাকার চাকা),⇄ Banani (বনানী) ⇄ Gulshan 2 (গুলশান ২) ⇄ Notun Bazar (নতুন বাজার)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Seating Service 
Dhaka Metro Service (ঢাকার মেট্রো সার্ভিস),⇄ Mirpur 1 (মিরপুর ১) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Asad Gate (আসাদ গেট) ⇄ Shukrabad (শুক্রাবাদ) ⇄ Kalabagan (কলাবাগান) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ New Market (নিউ মার্কেট) ⇄ Nilkhet (নীলক্ষেত) ⇄ Azimpur (আজিমপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Dhaka Paribahan (ঢাকা পরিবহন),⇄ Gulistan (গুলিস্তান) ⇄ Shahbag (শাহবাগ) ⇄ Farmgate (ফার্মগেট) ⇄ Banani (বনানী) ⇄ Uttara (উত্তরা) ⇄ Shib Bari (শিব বাড়ি)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Dipon (দিপন),⇄ Tajmahal Road (তাজমহল রোড) ⇄ Salimullah Road (সালিমুল্লাহ রোড) ⇄ Jakir Hossain Road (জাকির হোসেন রোড) ⇄ Star Kabab (স্টার কাবাব) ⇄ Dhanmondi 15 (ধানমন্ডি ১৫) ⇄ Jigatola (জিগাতোলা) ⇄ City College (সিটি কলেজ) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Shahbag (শাহবাগ) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ Baitul Mukarram (বায়তুল মোকাররম) ⇄ Gulistan (গুলিস্তান) ⇄ Motijheel (মতিঝিল) ⇄ Arambagh (আরামবাগ)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Dip Paribahan (দ্বীপ পরিবহন),⇄ Azimpur (আজিমপুর) ⇄ City College (সিটি কলেজ) ⇄ Kalabagan (কলাবাগান) ⇄ Panthopoth (পান্থপথ) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Nabisco (নাবিস্কো) ⇄ Gulshan 1 (গুলশান ১) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Dishari (দিসারি),⇄ Chiriyakhana (চিরিয়াখানা) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ College Gate (কলেজ গেট) ⇄ Asad Gate (আসাদ গেট) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Farmgate (ফার্মগেট) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Shahbag (শাহবাগ) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ GPO (জিপিও) ⇄ Golap Shah Mazar (গোলাপ শাহ মাজার) ⇄ Naya Bazar (নয়া বাজার) ⇄ Babubazar (বাবুবাজার) ⇄ Keraniganj (কেরাণীগঞ্জ)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Elite (এলিট),⇄ Agargaon (আগারগাঁও) ⇄ Taltola (তালতলা) ⇄ Shewrapara (শেওড়াপাড়া) ⇄ Kazipara (কাজীপাড়া) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Pallabi (পল্লবী) ⇄ Kalshi (কালশী) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
ETC (ইটিসি),⇄ Golap Shah Mazar (গোলাপ শাহ মাজার) ⇄ Shahbag (শাহবাগ) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Farmgate (ফার্মগেট) ⇄ Agargaon (আগারগাঁও) ⇄ Shewrapara (শেওড়াপাড়া) ⇄ Kazipara (কাজীপাড়া) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Pallabi (পল্লবী) ⇄ Mirpur 12 (মিরপুর ১২)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
ETC Transport (ইটিসি ট্রান্সপোর্ট),⇄ Golap Shah Mazar (গোলাপ শাহ মাজার) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Press Club (প্রেস ক্লাব) ⇄ High Court (উচ্চ আদালত) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ Shahbag (শাহবাগ) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Farmgate (ফার্মগেট) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Agargaon (আগারগাঁও) ⇄ Taltola (তালতলা) ⇄ Shewrapara (শেওড়াপাড়া) ⇄ Kazipara (কাজীপাড়া) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Pallabi (পল্লবী) ⇄ Mirpur 12 (মিরপুর ১২)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Seating Service 
Everest Paribahan (এভারেস্ট পরিবহন),⇄ Rupnagar Abashik (রূপনগর আবাসিক) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Farmgate (ফার্মগেট) ⇄ Gulistan (গুলিস্তান) ⇄ Keraniganj (কেরাণীগঞ্জ)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Falgun Art Transport Private Limited (ফাল্গুন আর্ট ট্রান্সপোর্ট প্রাইভেট লিমিটেড),⇄ Azimpur (আজিমপুর) ⇄ Nilkhet (নীলক্ষেত) ⇄ New Market (নিউ মার্কেট) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Bata Signal (বাটা সিগন্যাল) ⇄ Katabon (কাটাবন) ⇄ Shahbag (শাহবাগ) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ Kakrail (কাকরাইল) ⇄ Shantinagar (শান্তিনগর) ⇄ Malibaag Moor (মালিবাগ মোড়) ⇄ Mouchak (মৌচাক) ⇄ Malibagh Railgate (মালিবাগ রেলগেট) ⇄ Rampura Bazar (রামপুরা বাজার) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Madhya Badda (মধ্য বাড্ডা) ⇄ Badda (বাড্ডা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Notun Bazar (নতুন বাজার) ⇄ Nadda (নদ্দা) ⇄ Bashundhara (বসুন্ধরা) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ House Building (হাউজ বিল্ডিং)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
First Ten (ফার্স্ট টেন),⇄ Vashantek (ভাসানটেক) ⇄ Mirpur 14 (মিরপুর ১৪) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Technical (টেকনিক্যাল) ⇄ Gabtoli (গাবতলি)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
FTCL (এফটিসিএল),⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Shankar (শঙ্কর) ⇄ Star Kabab (স্টার কাবাব) ⇄ Jigatola (জিগাতোলা) ⇄ City College (সিটি কলেজ) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Bata Signal (বাটা সিগন্যাল) ⇄ Shahbag (শাহবাগ) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ GPO (জিপিও) ⇄ Gulistan (গুলিস্তান) ⇄ Sayapabad (সায়াপাবাদ) ⇄ Janapoth Moor (জনপথ মোড়) ⇄ Jatrabari (যাত্রাবাড়ি) ⇄ Shonir Akhra (শনির আখরা) ⇄ Rayerbag (রায়েরবাগ) ⇄ Matuail (মাতুয়াইল) ⇄ Sign Board (সাইন বোর্ড) ⇄ Chittagong Road (চট্টগ্রাম রোড)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
FTCL (এফটিসিএল),⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Shankar (শঙ্কর) ⇄ Dhanmondi 15 (ধানমন্ডি ১৫) ⇄ Jigatola (জিগাতোলা) ⇄ City College (সিটি কলেজ) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Shahbag (শাহবাগ) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ Paltan (পল্টন) ⇄ Gulistan (গুলিস্তান) ⇄ Motijheel (মতিঝিল) ⇄ Arambagh (আরামবাগ)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Gazipur Paribahan (গাজীপুর পরিবহন),⇄ Motijheel (মতিঝিল) ⇄ Paltan (পল্টন) ⇄ Kakrail (কাকরাইল) ⇄ Shantinagar (শান্তিনগর) ⇄ Malibaag Moor (মালিবাগ মোড়) ⇄ Mouchak (মৌচাক) ⇄ Mogbazar (মগবাজার) ⇄ Nabisco (নাবিস্কো) ⇄ Mohakhali (মহাখালী) ⇄ Chairman Bari (চেয়ারম্যান বাড়ী) ⇄ Sainik Club (সৈনিক ক্লাব) ⇄ Kakali (কাকলী) ⇄ Banani (বনানী) ⇄ Staff Road (স্টাফ রোড) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Tongi (টঙ্গী) ⇄ Station Road (স্টেশন রোড) ⇄ Mill Gate (মিল গেট) ⇄ Board Bazar (বোর্ড বাজার) ⇄ Gazipur Chourasta (গাজীপুর চৌরাস্তা) ⇄ Shib Bari (শিব বাড়ি)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Grameen (গ্রামীণ),⇄ Mirpur 14 (মিরপুর ১৪) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Technical (টেকনিক্যাল) ⇄ Gabtoli (গাবতলি)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Grameen Suveccha (গ্রামীণ শুভেচ্ছা),⇄ Fulbaria (ফুলবাড়িয়া) ⇄ Chankhar Pul (চাঁকহার পুল) ⇄ Bakshi Bazar (বকশী বাজার) ⇄ Azimpur (আজিমপুর) ⇄ Nilkhet (নীলক্ষেত) ⇄ New Market (নিউ মার্কেট) ⇄ City College (সিটি কলেজ) ⇄ Kalabagan (কলাবাগান) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Asad Gate (আসাদ গেট) ⇄ College Gate (কলেজ গেট) ⇄ Shishu Mela (শিশু মেলা) ⇄ Shyamoli (শ্যামলী) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Darussalam (দারুস্সালাম) ⇄ Technical (টেকনিক্যাল) ⇄ Gabtoli (গাবতলি) ⇄ Amin Bazar (আমিন বাজার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Savar (সাভার) ⇄ Baipayl (বাইপাইল) ⇄ Zirani Bazar (জিরানী বাজার) ⇄ Nandan Park (নন্দন পার্ক) ⇄ Chandra (চন্দ্রা)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Green Anabil (গ্রীন অনাবিল),⇄ Chasara (চাষারা) ⇄ Shibu Market (শিবু মার্কেট) ⇄ Jalkuri (জলকুড়ি) ⇄ Sign Board (সাইন বোর্ড) ⇄ Matuail (মাতুয়াইল) ⇄ Rayerbag (রায়েরবাগ) ⇄ Shonir Akhra (শনির আখরা) ⇄ Jatrabari (যাত্রাবাড়ি) ⇄ Sayapabad (সায়াপাবাদ) ⇄ Mugdapara (মুগদাপাড়া) ⇄ Bashabo (বাসাবো) ⇄ Malibagh Railgate (মালিবাগ রেলগেট) ⇄ Hazipara (হাজীপাড়া) ⇄ Rampura Bazar (রামপুরা বাজার) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Bashtola (বাঁশতলা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Nadda (নদ্দা) ⇄ Bashundhara (বসুন্ধরা) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Tongi (টঙ্গী) ⇄ Station Road (স্টেশন রোড) ⇄ Mill Gate (মিল গেট) ⇄ Board Bazar (বোর্ড বাজার) ⇄ Gazipur Bypass (গাজীপুর বাইপাস) ⇄ Gazipur Chourasta (গাজীপুর চৌরাস্তা)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Green Dhaka (গ্রীন ঢাকা),⇄ Motijheel (মতিঝিল) ⇄ Gulistan (গুলিস্তান) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Kakrail (কাকরাইল) ⇄ Shantinagar (শান্তিনগর) ⇄ Malibaag Moor (মালিবাগ মোড়) ⇄ Mouchak (মৌচাক) ⇄ Malibagh Railgate (মালিবাগ রেলগেট) ⇄ Hazipara (হাজীপাড়া) ⇄ Rampura Bazar (রামপুরা বাজার) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Bashtola (বাঁশতলা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Nadda (নদ্দা) ⇄ Bashundhara (বসুন্ধরা) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Seating Service 
Gulshan Chaka (গুলশান চাকা),⇄ Banani (বনানী) ⇄ Gulshan 2 (গুলশান ২) ⇄ Notun Bazar (নতুন বাজার)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Seating Service 
