Course,Section,Faculty,Time,Room,Semester,Predicted Faculty,Records
ACT201,1,AhU,RA 11:20 AM - 12:50 PM,NAC206,,,
ACT201,2,ARm,ST 04:20 PM - 05:50 PM,NAC309,,,
ACT201,3,Asy,ST 01:00 PM - 02:30 PM,NAC410,,,
ACT201,4,Asy,ST 09:40 AM - 11:10 AM,NAC206,,,
ACT201,5,AWKm,RA 02:40 PM - 04:10 PM,NAC410,,,
ACT201,6,FI,MW 01:00 PM - 02:30 PM,NAC310,,,
ACT201,7,FI,MW 02:40 PM - 04:10 PM,NAC206,,,
ACT201,8,IAC,MW 08:00 AM - 09:30 AM,NAC406,,,
ACT201,9,MdM,MW 11:20 AM - 12:50 PM,NAC620,,,
ACT201,10,MIBS,MW 08:00 AM - 09:30 AM,NAC411,,,
ACT201,11,MNl1,MW 09:40 AM - 11:10 AM,NAC510,,,
ACT201,12,NHO,MW 01:00 PM - 02:30 PM,NAC411,,,
ACT201,13,NHO,MW 11:20 AM - 12:50 PM,NAC508,,,
ACT201,14,NHO,ST 09:40 AM - 11:10 AM,NAC411,,,
ACT201,15,NHO,ST 11:20 AM - 12:50 PM,NAC411,,,
ACT201,16,NNh,MW 08:00 AM - 09:30 AM,NAC309,,,
ACT201,17,NNh,MW 09:40 AM - 11:10 AM,NAC309,,,
ACT201,18,NNh,MW 11:20 AM - 12:50 PM,NAC310,,,
ACT201,19,Rby,MW 04:20 PM - 05:50 PM,NAC310,,,
ACT201,20,SHA1,ST 01:00 PM - 02:30 PM,NAC507,,,
ACT201,21,TBA,MW 01:00 PM - 02:30 PM,OAT601,,,
ACT201,22,TBA,MW 02:40 PM - 04:10 PM,NAC510,,,
ACT201,23,TBA,ST 01:00 PM - 02:30 PM,NAC509,,,
ACT201,24,TBA,ST 02:40 PM - 04:10 PM,NAC510,,,
ACT201,25,TsA,ST 08:00 AM - 09:30 AM,NAC620,,,
ACT201,26,AZR,ST 08:00 AM - 09:30 AM,NAC206,,,
ACT201,27,Hmm,ST 02:40 PM - 04:10 PM,NAC411,,,
ACT201,28,Hmm,ST 04:20 PM - 05:50 PM,NAC410,,,
ACT201,29,KSR,RA 02:40 PM - 04:10 PM,NAC215,,,
ACT201,30,MOB,RA 09:40 AM - 11:10 AM,NAC410,,,
ACT201,31,MSKN,RA 02:40 PM - 04:10 PM,NAC310,,,
ACT202,1,AhU,ST 04:20 PM - 05:50 PM,NAC206,,,
ACT202,2,FI,ST 01:00 PM - 02:30 PM,NAC411,,,
ACT202,3,FI,ST 02:40 PM - 04:10 PM,NAC310,,,
ACT202,4,IAC,ST 08:00 AM - 09:30 AM,NAC310,,,
ACT202,5,IAC,ST 09:40 AM - 11:10 AM,NAC310,,,
ACT202,6,MGR,MW 08:00 AM - 09:30 AM,NAC410,,,
ACT202,7,MIBS,ST 08:00 AM - 09:30 AM,NAC410,,,
ACT202,8,MRE,RA 11:20 AM - 12:50 PM,NAC410,,,
ACT202,9,Rby,MW 01:00 PM - 02:30 PM,NAC509,,,
ACT202,10,RMH1,MW 08:00 AM - 09:30 AM,NAC508,,,
ACT202,11,RMH1,ST 08:00 AM - 09:30 AM,NAC507,,,
ACT202,12,SHA1,MW 01:00 PM - 02:30 PM,NAC508,,,
ACT202,13,SHA1,MW 02:40 PM - 04:10 PM,NAC410,,,
ACT202,14,Sys,ST 02:40 PM - 04:10 PM,NAC509,,,
ACT202,15,TsA,RA 08:00 AM - 09:30 AM,NAC510,,,
ACT202,16,TsA,RA 09:40 AM - 11:10 AM,NAC510,,,
ACT202,17,AUL,RA 08:00 AM - 09:30 AM,NAC206,,,
ACT202,18,KHM,RA 01:00 PM - 02:30 PM,NAC309,,,
ACT202,19,KHM,RA 11:20 AM - 12:50 PM,NAC309,,,
ACT202,20,MFRN,RA 08:00 AM - 09:30 AM,NAC310,,,
ACT202,21,MFRN,RA 09:40 AM - 11:10 AM,NAC310,,,
ACT202,22,MhMR,RA 01:00 PM - 02:30 PM,NAC410,,,
ACT202,23,TBA,ST 04:20 PM - 05:50 PM,NAC411,,,
ACT202,24,RQR,RA 11:20 AM - 12:50 PM,NAC510,,,
ACT202,25,RQR,RA 09:40 AM - 11:10 AM,NAC507,,,
ACT310,1,MGR,MW 09:40 AM - 11:10 AM,NAC307,,,
ACT310,2,Rby,ST 02:40 PM - 04:10 PM,NAC309,,,
ACT310,3,SHA1,ST 04:20 PM - 05:50 PM,NAC508,,,
ACT320,1,MGR,ST 09:40 AM - 11:10 AM,NAC410,,,
ACT320,2,RMH1,MW 09:40 AM - 11:10 AM,NAC411,,,
ACT360,1,MIBS,MW 09:40 AM - 11:10 AM,NAC310,,,
ACT360,2,Rby,ST 01:00 PM - 02:30 PM,NAC310,,,
ACT370,1,RMH1,ST 11:20 AM - 12:50 PM,NAC413,,,
ACT370,2,KSR,RA 01:00 PM - 02:30 PM,NAC310,,,
ACT380,1,Fjm,MW 04:20 PM - 05:50 PM,NAC510,,,
ACT410,1,AhU,ST 02:40 PM - 04:10 PM,NAC206,,,
ACT430,1,MGR,ST 08:00 AM - 09:30 AM,NAC406,,,
AMCS502,1,MLA,T 07:00 PM - 10:10 PM,SAC315,,,
AMCS503,1,ATA,R 07:00 PM - 10:10 PM,SAC315,,,
AMCS504,1,PNG,S 07:00 PM - 10:10 PM,SAC315,,,
AMCS505,1,MTH,ST 04:20 PM - 05:50 PM,SAC315,,,
ANT101,1,BSq,MW 11:20 AM - 12:50 PM,NAC991,,,
ANT101,2,BSq,MW 02:40 PM - 04:10 PM,NAC315,,,
ANT101,3,MHR3,MW 04:20 PM - 05:50 PM,NAC601,,,
ANT101,4,RJS,RA 09:40 AM - 11:10 AM,NAC517,,,
ANT101,5,MTE,MW 01:00 PM - 02:30 PM,NAC517,,,
ANT101,6,TZf,ST 01:00 PM - 02:30 PM,NAC517,,,
ANT101,7,RSP,RA 04:20 PM - 05:50 PM,NAC604,,,
ARC111,1,ASAA,STR 09:40 AM - 12:50 PM,OAT803,,,
ARC111,2,SQR,STR 09:40 AM - 12:50 PM,OAT803_V,,,
ARC111,3,TBA,STR 09:40 AM - 12:50 PM,OAT803_V1,,,
ARC111,4,TBA,STR 09:40 AM - 12:50 PM,OAT803_V2,,,
ARC112,1,AHS1,STR 09:40 AM - 12:50 PM,LIB913,,,
ARC112,2,TBA,STR 09:40 AM - 12:50 PM,LIB913_V,,,
ARC112,3,TBA,STR 09:40 AM - 12:50 PM,LIB910,,,
ARC121,1,ASAA,MW 09:40 AM - 12:50 PM,OAT803,,,
ARC121,2,TBA,MW 09:40 AM - 12:50 PM,OAT803_V,,,
ARC121,3,TBA,MW 09:40 AM - 12:50 PM,OAT803_V1,,,
ARC121,4,TBA,MW 09:40 AM - 12:50 PM,OAT803_V2,,,
ARC122,1,SIU,MW 09:40 AM - 12:50 PM,LIB913,,,
ARC122,2,SNF,MW 09:40 AM - 12:50 PM,LIB910,,,
ARC122,3,TBA,MW 09:40 AM - 12:50 PM,LIB913_V,,,
ARC123,1,RMY,MW 09:40 AM - 12:50 PM,LIB906,,,
ARC123,2,RMY,MW 01:00 PM - 04:10 PM,LIB906,,,
ARC123,3,AHS1,MW 01:00 PM - 04:10 PM,LIB906_V,,,
ARC131,1,SIK3,ST 08:00 AM - 09:30 AM,SAC201,,,
ARC131,2,AKD1,ST 01:00 PM - 02:30 PM,SAC201,,,
ARC131,3,AKD1,ST 02:40 PM - 04:10 PM,SAC201,,,
ARC131,4,AHS1,ST 01:00 PM - 02:30 PM,LIB908,,,
ARC133,1,RMY,W 08:00 AM - 09:30 AM,OAT901,,,
ARC133,2,SNF,M 02:40 PM - 04:10 PM,LIB908,,,
ARC213,1,AKD1,STR 09:40 AM - 12:50 PM,LIB905,,,
ARC213,2,TBA,STR 09:40 AM - 12:50 PM,LIB905_V,,,
ARC214,1,SJD,STR 09:40 AM - 12:50 PM,LIB901,,,
ARC214,2,SNF,STR 09:40 AM - 12:50 PM,LIB901_V,,,
ARC214,3,TBA,STR 09:40 AM - 12:50 PM,LIB901_,,,
ARC215,1,HUR,STR 09:40 AM - 12:50 PM,OAT1001,,,
ARC241,1,SQR,ST 02:40 PM - 04:10 PM,OAT901,,,
ARC242,1,SIK3,ST 02:40 PM - 04:10 PM,LIB907,,,
ARC251,1,MTM2,ST 01:00 PM - 02:30 PM,NAC413,,,
ARC251,2,MTM2,ST 02:40 PM - 04:10 PM,NAC413,,,
ARC261,1,SIU,ST 01:00 PM - 02:30 PM,SAC203,,,
ARC262,2,SIU,MW 01:00 PM - 02:30 PM,SAC203,,,
ARC263,1,MFN,ST 01:00 PM - 02:30 PM,SAC204,,,
ARC264,1,HUR,M 09:40 AM - 12:50 PM,LIB907,,,
ARC271,1,AKD1,MW 02:40 PM - 04:10 PM,SAC201,,,
ARC271,2,NTL,MW 08:00 AM - 09:30 AM,SAC201,,,
ARC272,1,MUN,MW 01:00 PM - 02:30 PM,LIB907,,,
ARC273,1,NTL,M 09:40 AM - 12:50 PM,LIB1002,,,
ARC273,2,NTL,M 09:40 AM - 12:50 PM,LIB1002_V,,,
ARC281,1,NMSN,M 02:40 PM - 05:40 PM,U,,,
ARC282,1,NMSN,W 02:40 PM - 05:40 PM,TBA_V,,,
ARC283,1,TMY,W 02:40 PM - 05:40 PM,NAC413,,,
ARC293,1,ASAA,ST 02:40 PM - 05:50 PM,LIB906,,,
ARC310,1,SNF,MW 01:00 PM - 02:30 PM,LIB908,,,
ARC316,1,SIU,STR 09:40 AM - 12:50 PM,OAT1002,,,
ARC316,2,RMY,STR 09:40 AM - 12:50 PM,OAT1003,,,
ARC316,3,TBA,STR 09:40 AM - 12:50 PM,OAT1002_V,,,
ARC317,1,SSIM,STWR 09:40 AM - 12:50 PM,LIB904,,,
ARC317,2,NTL,STWR 09:40 AM - 12:50 PM,LIB904_V,,,
ARC317,3,TBA,STWR 09:40 AM - 12:50 PM,LIB904_V1,,,
